"response__warnings__warning","response__warnings__description","response__total","response__dateFormat","response__frequency","response__data__period","response__data__subba","response__data__subba-name","response__data__parent","response__data__parent-name","response__data__value","response__data__value-units","response__description","request__command","request__params__frequency","request__params__data__-","request__params__sort__column","request__params__sort__direction","request__params__offset","request__params__length","request__params__api_key","apiVersion"
"","","","","","2023-07-22T07","PE","PECO Energy zone","PJM","PJM Interconnection, LLC","3979","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ME","Metropolitan Edison zone","PJM","PJM Interconnection, LLC","1446","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","823","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","1521","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONC","Central","NYIS","New York Independent System Operator","1473","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1027","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","DOM","Dominion Virginia Power zone","PJM","PJM Interconnection, LLC","12247","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONJ","New York City","NYIS","New York Independent System Operator","5817","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","304","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","RECO","Rockland Electric (East) zone","PJM","PJM Interconnection, LLC","158","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ATSI","American Transmission Systems, Inc. zone","PJM","PJM Interconnection, LLC","6121","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","VEA","Valley Electric Association","CISO","California Independent System Operator","99","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","PS","Public Service Electric & Gas zone","PJM","PJM Interconnection, LLC","4887","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","FWES","Far West","ERCO","Electric Reliability Council of Texas, Inc.","6294","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","BC","Baltimore Gas & Electric zone","PJM","PJM Interconnection, LLC","3015","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","AP","Allegheny Power zone","PJM","PJM Interconnection, LLC","4447","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","INDN","Independence Power & Light","SWPP","Southwest Power Pool","91","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","9682","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","DPL","Delmarva Power & Light zone","PJM","PJM Interconnection, LLC","1838","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","NRTH","North","ERCO","Electric Reliability Council of Texas, Inc.","1463","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONI","Dunwoodie","NYIS","New York Independent System Operator","630","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1309","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2798","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","508","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","LES","Lincoln Electric System","SWPP","Southwest Power Pool","328","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","1373","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONF","Capital","NYIS","New York Independent System Operator","1178","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","EAST","East","ERCO","Electric Reliability Council of Texas, Inc.","1954","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","3413","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","SECI","Sunflower Electric","SWPP","Southwest Power Pool","607","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZOND","North","NYIS","New York Independent System Operator","608","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONA","West","NYIS","New York Independent System Operator","1490","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","EKPC","East Kentucky Power Cooperative zone","PJM","PJM Interconnection, LLC","1280","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","AEP","American Electric Power zone","PJM","PJM Interconnection, LLC","11880","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","689","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","21561","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","746","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1016","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","2427","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","SCE","Southern California Edison","CISO","California Independent System Operator","15974","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","5345","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONH","Millwood","NYIS","New York Independent System Operator","304","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","4542","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","17551","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","73","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","CE","Commonwealth Edison zone","PJM","PJM Interconnection, LLC","9450","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","DUQ","Duquesne Lighting Company zone","PJM","PJM Interconnection, LLC","1303","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","8863","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","NCEN","North Central","ERCO","Electric Reliability Council of Texas, Inc.","16338","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","SOUT","South","ERCO","Electric Reliability Council of Texas, Inc.","4294","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","ZONK","Long Island","NYIS","New York Independent System Operator","2406","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","258","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T07","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","3662","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2964","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","COAS","Coast","ERCO","Electric Reliability Council of Texas, Inc.","16006","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ME","Metropolitan Edison zone","PJM","PJM Interconnection, LLC","1519","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","1454","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONF","Capital","NYIS","New York Independent System Operator","1227","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","VEA","Valley Electric Association","CISO","California Independent System Operator","111","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","3887","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","541","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","3494","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","28","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","SPRM","City of Springfield","SWPP","Southwest Power Pool","326","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","SCE","Southern California Edison","CISO","California Independent System Operator","17096","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","75","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","25","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","SOUT","South","ERCO","Electric Reliability Council of Texas, Inc.","4548","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","SCEN","South Central","ERCO","Electric Reliability Council of Texas, Inc.","10085","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","NCEN","North Central","ERCO","Electric Reliability Council of Texas, Inc.","17592","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","PN","Pennsylvania Electric zone","PJM","PJM Interconnection, LLC","1616","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","RECO","Rockland Electric (East) zone","PJM","PJM Interconnection, LLC","169","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","INDN","Independence Power & Light","SWPP","Southwest Power Pool","100","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","4573","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","10200","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONB","Genesee","NYIS","New York Independent System Operator","959","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","17435","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","FWES","Far West","ERCO","Electric Reliability Council of Texas, Inc.","6376","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","DAY","Dayton Power & Light zone","PJM","PJM Interconnection, LLC","1597","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","BC","Baltimore Gas & Electric zone","PJM","PJM Interconnection, LLC","3179","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","WR","Westar Energy","SWPP","Southwest Power Pool","3247","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","PL","Pennsylvania Power & Light zone","PJM","PJM Interconnection, LLC","3992","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","4651","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONC","Central","NYIS","New York Independent System Operator","1496","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONH","Millwood","NYIS","New York Independent System Operator","320","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","DEOK","Duke Energy Ohio/Kentucky zone","PJM","PJM Interconnection, LLC","2659","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","PEP","Potomac Electric Power zone","PJM","PJM Interconnection, LLC","3117","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","17990","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","DOM","Dominion Virginia Power zone","PJM","PJM Interconnection, LLC","12824","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","DUQ","Duquesne Lighting Company zone","PJM","PJM Interconnection, LLC","1359","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ATSI","American Transmission Systems, Inc. zone","PJM","PJM Interconnection, LLC","6325","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","DPL","Delmarva Power & Light zone","PJM","PJM Interconnection, LLC","1940","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","AP","Allegheny Power zone","PJM","PJM Interconnection, LLC","4615","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","LES","Lincoln Electric System","SWPP","Southwest Power Pool","352","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONJ","New York City","NYIS","New York Independent System Operator","6080","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","EAST","East","ERCO","Electric Reliability Council of Texas, Inc.","2095","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONK","Long Island","NYIS","New York Independent System Operator","2562","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","722","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","AEP","American Electric Power zone","PJM","PJM Interconnection, LLC","12244","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","2511","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONA","West","NYIS","New York Independent System Operator","1522","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","5640","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","WEST","West","ERCO","Electric Reliability Council of Texas, Inc.","1454","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","EKPC","East Kentucky Power Cooperative zone","PJM","PJM Interconnection, LLC","1313","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","PE","PECO Energy zone","PJM","PJM Interconnection, LLC","4192","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZOND","North","NYIS","New York Independent System Operator","611","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","319","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","NRTH","North","ERCO","Electric Reliability Council of Texas, Inc.","1524","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","JC","Jersey Central Power & Light zone","PJM","PJM Interconnection, LLC","2592","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","1624","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","876","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1092","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","270","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONI","Dunwoodie","NYIS","New York Independent System Operator","648","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","55","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","AE","Atlantic Electric zone","PJM","PJM Interconnection, LLC","1311","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","PS","Public Service Electric & Gas zone","PJM","PJM Interconnection, LLC","5153","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","722","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","SECI","Sunflower Electric","SWPP","Southwest Power Pool","628","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1420","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","CE","Commonwealth Edison zone","PJM","PJM Interconnection, LLC","9966","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","22479","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1072","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","9223","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","6","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","8696","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T06","Frep","Freeport","PNM","Public Service Company of New Mexico","32","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","LES","Lincoln Electric System","SWPP","Southwest Power Pool","388","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","DAY","Dayton Power & Light zone","PJM","PJM Interconnection, LLC","1704","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONI","Dunwoodie","NYIS","New York Independent System Operator","695","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","27","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1552","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","WEST","West","ERCO","Electric Reliability Council of Texas, Inc.","1576","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","DUQ","Duquesne Lighting Company zone","PJM","PJM Interconnection, LLC","1422","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1167","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","COAS","Coast","ERCO","Electric Reliability Council of Texas, Inc.","16899","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","10921","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","VEA","Valley Electric Association","CISO","California Independent System Operator","125","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","23626","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","6023","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","JC","Jersey Central Power & Light zone","PJM","PJM Interconnection, LLC","2828","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","CE","Commonwealth Edison zone","PJM","PJM Interconnection, LLC","10808","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","9494","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","3593","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ME","Metropolitan Edison zone","PJM","PJM Interconnection, LLC","1610","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONB","Genesee","NYIS","New York Independent System Operator","1012","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","NRTH","North","ERCO","Electric Reliability Council of Texas, Inc.","1620","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","2627","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","1762","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","583","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","1567","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","PN","Pennsylvania Electric zone","PJM","PJM Interconnection, LLC","1695","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","PL","Pennsylvania Power & Light zone","PJM","PJM Interconnection, LLC","4217","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","PS","Public Service Electric & Gas zone","PJM","PJM Interconnection, LLC","5506","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONH","Millwood","NYIS","New York Independent System Operator","354","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","NCEN","North Central","ERCO","Electric Reliability Council of Texas, Inc.","19135","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONF","Capital","NYIS","New York Independent System Operator","1284","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","EKPC","East Kentucky Power Cooperative zone","PJM","PJM Interconnection, LLC","1449","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","PEP","Potomac Electric Power zone","PJM","PJM Interconnection, LLC","3349","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","PE","PECO Energy zone","PJM","PJM Interconnection, LLC","4457","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","SCEN","South Central","ERCO","Electric Reliability Council of Texas, Inc.","10802","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONJ","New York City","NYIS","New York Independent System Operator","6388","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","974","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","DPL","Delmarva Power & Light zone","PJM","PJM Interconnection, LLC","2090","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","RECO","Rockland Electric (East) zone","PJM","PJM Interconnection, LLC","184","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","BC","Baltimore Gas & Electric zone","PJM","PJM Interconnection, LLC","3414","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","DOM","Dominion Virginia Power zone","PJM","PJM Interconnection, LLC","13531","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","AP","Allegheny Power zone","PJM","PJM Interconnection, LLC","4860","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","75","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","WR","Westar Energy","SWPP","Southwest Power Pool","3514","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","EAST","East","ERCO","Electric Reliability Council of Texas, Inc.","2237","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","18239","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","INDN","Independence Power & Light","SWPP","Southwest Power Pool","111","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","SOUT","South","ERCO","Electric Reliability Council of Texas, Inc.","4857","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONK","Long Island","NYIS","New York Independent System Operator","2762","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZOND","North","NYIS","New York Independent System Operator","616","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONC","Central","NYIS","New York Independent System Operator","1583","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","337","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","56","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","286","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","4789","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","AEP","American Electric Power zone","PJM","PJM Interconnection, LLC","12886","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","6","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","9188","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","DEOK","Duke Energy Ohio/Kentucky zone","PJM","PJM Interconnection, LLC","2835","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ATSI","American Transmission Systems, Inc. zone","PJM","PJM Interconnection, LLC","6659","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","AE","Atlantic Electric zone","PJM","PJM Interconnection, LLC","1433","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","FWES","Far West","ERCO","Electric Reliability Council of Texas, Inc.","6470","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","SECI","Sunflower Electric","SWPP","Southwest Power Pool","668","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","17960","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","SPRM","City of Springfield","SWPP","Southwest Power Pool","355","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","31","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","760","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","4930","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","SCE","Southern California Edison","CISO","California Independent System Operator","17801","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","ZONA","West","NYIS","New York Independent System Operator","1594","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","735","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1149","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","Frep","Freeport","PNM","Public Service Company of New Mexico","32","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","3034","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T05","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","4136","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T04","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","11759","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T04","WEST","West","ERCO","Electric Reliability Council of Texas, Inc.","1776","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T04","DUQ","Duquesne Lighting Company zone","PJM","PJM Interconnection, LLC","1522","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T04","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","1928","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T04","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","2789","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T04","ME","Metropolitan Edison zone","PJM","PJM Interconnection, LLC","1753","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T04","PL","Pennsylvania Power & Light zone","PJM","PJM Interconnection, LLC","4549","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T04","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","10198","megawatthours","","","","","","","","","",""
